Ticker,Company,Sector,Industry,Price,P/E,Debt/Eq,P/FCF,ROE,Profit M,Sifat_balli
ABEV,Ambev SA ADR,Consumer Defensive,Beverages - Brewers,3.02,16.47,0.03,11.71,0.1702,0.1769,
ACN,Accenture plc,Technology,Information Technology Services,137.19,10.96,0.26,6.67,0.2495,0.1066,
ADBE,Adobe Inc,Technology,Software - Application,220.94,12.64,0.61,8.54,0.6295000000000001,0.2869,
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,9.16,13.51,0.52,19.68,0.433,0.3243,
ADP,Automatic Data Processing Inc,Technology,Software - Application,241.37,22.5,0.69,18.22,0.7120000000000001,0.20120000000000002,
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold,144.89,13.63,0.01,16.33,0.223,0.3946,
AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,141.2,13.4,0.39,7.63,0.1938,0.10859999999999999,
ALRM,Alarm.com Holdings Inc,Technology,Software - Application,50.99,21.16,0.66,14.94,0.1583,0.12359999999999999,
AMG,Affiliated Managers Group Inc,Financial,Asset Management,356.27,14.52,0.94,8.61,0.2404,0.3542,
AMP,Ameriprise Financial Inc,Financial,Asset Management,490.58,12.2,0.94,5.99,0.6694,0.2018,
APA,APA Corp,Energy,Oil & Gas E&P,35.06,8.17,0.7,8.37,0.25780000000000003,0.17800000000000002,
ATAT,Atour Lifestyle Holdings Ltd ADR,Consumer Cyclical,Lodging,31.84,17.12,0.37,11.64,0.525,0.1721,
AU,AngloGold Ashanti Plc,Basic Materials,Gold,79.83,11.71,0.27,10.08,0.4539,0.3111,
AWI,Armstrong World Industries Inc,Industrials,Building Products & Equipment,151.93,21.57,0.64,27.18,0.36340000000000006,0.1859,
AX,Axos Financial Inc,Financial,Banks - Regional,95.59,11.6,0.97,20.68,0.168,0.2253,
AYI,Acuity Inc,Industrials,Electrical Equipment & Parts,329.76,21.87,0.28,15.44,0.17379999999999998,0.1025,
AZZ,AZZ Inc,Industrials,Specialty Business Services,143.6,13.68,0.4,9.69,0.2663,0.1923,
B,Barrick Mining Corp,Basic Materials,Gold,35.74,9.85,0.17,11.08,0.2364,0.3218,
BAP,Credicorp Ltd,Financial,Banks - Regional,381.47,14.66,0.81,20.88,0.1946,0.2322,
BBW,Build A Bear Workshop Inc,Consumer Cyclical,Specialty Retail,30.19,7.07,0.79,13.07,0.35869999999999996,0.1048,
